column,non-null count,dtype
#,Column,Non-Null
---,------,--------------
0,SID,2930
1,PID,2930
2,SubClass,2930
3,Zoning,2930
4,LotFrontage,2440
5,LotArea,2930
6,Street,2930
7,Alley,198
8,LotShape,2930
9,LandContour,2930
10,Utilities,2930
11,LotConfig,2930
12,LandSlope,2930
13,Neighborhood,2930
14,Condition1,2930
15,Condition2,2930
16,BldgType,2930
17,HouseStyle,2930
18,OverallQual,2930
19,OverallCond,2930
20,YearBuilt,2930
21,YearRemodel,2930
22,RoofStyle,2930
23,RoofMat,2930
24,Exterior1,2930
25,Exterior2,2930
26,MasVnrType,2907
27,MasVnrArea,2907
28,ExterQual,2930
29,ExterCond,2930
30,Foundation,2930
31,BsmtQual,2850
32,BsmtCond,2850
33,BsmtExposure,2847
34,BsmtFinType1,2850
35,BsmtFinSF1,2929
36,BsmtFinType2,2849
37,BsmtFinSF2,2929
38,BsmtUnfSF,2929
39,TotalBsmtSF,2929
40,Heating,2930
41,HeatingQC,2930
42,CentralAir,2930
43,Electrical,2929
44,FirstFlrSF,2930
45,SecondFlrSF,2930
46,LowQualFinSF,2930
47,GrLivArea,2930
48,BsmtFullBath,2928
49,BsmtHalfBath,2928
50,FullBath,2930
51,HalfBath,2930
52,BedroomAbvGr,2930
53,KitchenAbvGr,2930
54,KitchenQual,2930
55,TotRmsAbvGrd,2930
56,Functional,2930
57,Fireplaces,2930
58,FireplaceQu,1508
59,GarageType,2773
60,GarageYrBlt,2771
61,GarageFinish,2771
62,GarageCars,2929
63,GarageArea,2929
64,GarageQual,2771
65,GarageCond,2771
66,PavedDrive,2930
67,WoodDeckSF,2930
68,OpenPorchSF,2930
69,EnclosedPorch,2930
70,ThreeSsnPorch,2930
71,ScreenPorch,2930
72,PoolArea,2930
73,PoolQC,13
74,Fence,572
75,MiscFeature,106
76,MiscVal,2930
77,MoSold,2930
78,YrSold,2930
79,SaleType,2930
80,SaleCondition,2930
81,SalePrice,2930
82,TotalFloorSF,2930
83,HouseAge,2930
84,QualityIndex,2930
85,logSalePrice,2930
